상권_코드_명,자치구명,상권_구분_코드_명,최다업종,직장인수_평균,상주인구_평균,개업률_평균,폐업률_평균,월매출_평균,엑스좌표_값,와이좌표_값,영역_면적,행정동,위도,경도
4.19민주묘지역 2번,강북구,골목상권,호프-간이주점,97.0909090909091,1222.2307692307693,2.8181818181818183,2.9421487603305785,330477135.2892562,201112,461090,60794,우이동,37.64943719463744,127.01260072039511
63빌딩,영등포구,발달상권,화초,8793.02688172043,644.1061452513967,2.616504854368932,1.7087378640776698,239076132.3398058,194670,446691,40709,여의동,37.5196884695514,126.93970740059652
DMC(디지털미디어시티),마포구,발달상권,화초,9665.656419529838,1047.9408396946565,3.314238952536825,2.7708674304418985,1593509400.3060555,190266,453378,347758,상암동,37.57990219166072,126.8898010489625
GS강동자이아파트,강동구,골목상권,화장품,409.85393258426967,3315.168,2.74247491638796,2.919732441471572,157542770.18,213004,448764,81524,길동,37.538289959838245,127.14713686672866
G타워,구로구,골목상권,화장품,815.6666666666666,3859.626168224299,4.633333333333334,2.25,330740889.9338843,190905,442315,84987,구로3동,37.48023108551514,126.89717210666026
KB국민은행 망원동지점,마포구,골목상권,호프-간이주점,292.24347826086955,2419.8073394495414,3.368627450980392,3.1058823529411765,304447100.5234375,191646,451113,72666,망원2동,37.559508222945176,126.90544985616542
KB국민은행 서강지점,마포구,골목상권,핸드폰,79.3495145631068,548.3298969072165,2.356521739130435,2.130434782608696,160826352.0172414,194258,449405,24575,신수동,37.54413915657821,126.93502567773919
KB국민은행 종암동지점,성북구,골목상권,한식음식점,83.6,941.6315789473684,0.0,0.5,364502506.90909094,203263,455041,52907,종암동,37.59493135476554,127.03694796929915
KB국민은행 중화동지점,중랑구,골목상권,한식음식점,154.61111111111111,2392.8823529411766,1.9,1.0166666666666666,353082657.1,206956,455282,62374,중화2동,37.59708224403993,127.0787672252466
KC대학교,강서구,골목상권,한식음식점,179.22222222222223,1906.3529411764705,2.375,2.5,1762990976.475,186979,449983,48432,화곡6동,37.54927286665986,126.85264916819561
KT&G 북부지사,강북구,골목상권,호프-간이주점,13.136363636363637,982.2857142857143,2.5,2.1041666666666665,226280537.10416666,203145,459526,32184,번1동,37.635341092364456,127.0356310949828
KT구로지사,관악구,골목상권,한식음식점,212.56962025316454,2261.162162162162,3.6551724137931036,3.5517241379310347,348987291.1348315,191353,442391,80033,조원동,37.4809201509186,126.90223628689705
KT금천빌딩(금천구시설관리공단),금천구,골목상권,한식음식점,434.6224489795918,221.30107526881721,4.333333333333333,2.6018518518518516,170244134.51152074,191404,438635,35970,시흥1동,37.44707867860115,126.90285669090942
KT대방빌딩,영등포구,골목상권,일반교습학원,47.27777777777778,224.8235294117647,0.775,0.8125,161877775.95,191953,444056,8947,신길6동,37.49592733165793,126.90900173377105
KT월곡지사,성북구,골목상권,한식음식점,155.47692307692307,1693.968253968254,2.1142857142857143,1.8428571428571427,257461361.54285714,203090,456010,76869,월곡1동,37.60366255226508,127.03499312523303
NH농협은행 보광동지점,용산구,골목상권,한식음식점,454.33870967741933,3632.32,2.207729468599034,1.357487922705314,256725364.29807693,199990,447728,105153,보광동,37.529047253229294,126.99988686653968
